Session,STT,Unit (Ohm),Tiếng Việt,Tiếng Anh,Session No.,Complete Sentence (Vie),Complete Sentence (Eng),TC,LC,TL,CVR
Day 3,Session 2,5,Cái máy lạnh,AC / Air Conditioner,2,"Sáng nay, Cái máy lạnh trong phòng họp bị yếu, nên tôi báo lễ tân trước buổi họp. Anh kỹ thuật đến kiểm tra ngay.","This morning, the air conditioner in the meeting room was weak, so I told reception before the meeting. The technician came to check it right away.",8,1.5,1.3,16
Day 3,Session 2,5,Cứ thoải mái,Freely / feel free,2,"Anh Minh nói: “Cứ thoải mái hỏi nếu em chưa rõ quy trình.” Trong buổi họp sáng, cả nhóm trao đổi nhẹ nhàng để hoàn thành việc đúng hạn.","Minh said, “Feel free to ask if you don’t understand the process.” In the morning meeting, the team spoke calmly to finish the work on time.",8,1.5,1.3,16
Day 3,Session 2,5,Kỹ sư trưởng,Chief engineer,2,"Sáng nay, Kỹ sư trưởng họp nhanh với nhóm bảo trì. Anh nhắc mọi người kiểm tra máy trước ca làm để tránh lỗi nhỏ.","This morning, the chief engineer had a quick meeting with the maintenance team. He reminded everyone to check the machines before the shift to avoid small errors.",8,1.5,1.3,16
Day 3,Session 2,5,Kỹ năng và khả năng,Skill and ability,2,"Trong buổi họp sáng, quản lý hỏi về Kỹ năng và khả năng của từng nhân viên. Cả nhóm trả lời ngắn gọn để chia việc phù hợp.","In the morning meeting, the manager asked about each employee's skills and abilities. The team answered briefly to assign tasks appropriately.",8,1.5,1.3,16
Day 3,Session 2,5,Thực tập sinh,Intern / trainee / probationer / apprentice,2,"Sáng nay, Thực tập sinh đến văn phòng sớm để chuẩn bị tài liệu họp. Anh ấy hỏi quản lý cách ghi chú chuyên nghiệp hơn.","This morning, the intern arrived at the office early to prepare meeting documents. He asked the manager how to take more professional notes.",8,1.5,1.3,16
Day 3,Session 2,5,Có lẽ,Perhaps / maybe / most likely,2,Có lẽ sáng nay anh Minh đến văn phòng muộn. Chị Lan nhắn nhóm họp sau giờ cà phê để mọi người chuẩn bị báo cáo ngắn.,Maybe Minh will arrive at the office late this morning. Lan messaged the team to meet after coffee so everyone can prepare a short report.,8,1.5,1,12
Day 3,Session 2,5,Duyệt,Approve / give me a go-ahead,2,"Sáng nay, Duyệt nhắc đồng nghiệp kiểm tra email trước cuộc họp. Mọi người trả lời nhanh để nhóm chốt lịch làm việc hôm nay.","This morning, Duyệt reminded colleagues to check their email before the meeting. Everyone replied quickly so the team could finalize today's work schedule.",8,1.5,1.3,16
Day 3,Session 2,5,Trợ lý,Assistant / supporter / right-hand man,2,"Sáng nay, Trợ lý nhắc tôi lịch họp với phòng nhân sự. Nhờ vậy, tôi chuẩn bị tài liệu đúng giờ và trả lời email khách hàng.","This morning, the assistant reminded me about the meeting with HR. Thanks to that, I prepared the documents on time and replied to the client’s email.",8,1.5,1.3,16
Day 3,Session 2,5,Nổi tiếng,Famous / well-known / renowned,2,"Chị Lan rất Nổi tiếng ở văn phòng vì luôn giúp đồng nghiệp mới. Sáng nay, cô hướng dẫn tôi viết email lịch sự cho khách hàng.","Ms. Lan is very famous in the office because she always helps new colleagues. This morning, she guided me in writing a polite email to a client.",8,1.5,1,12
Day 3,Session 2,5,Gã khổng lồ công nghệ,Tech giant / Big Tech,2,"Trong buổi họp sáng, Gã khổng lồ công nghệ được nhắc đến như một ví dụ về đổi mới. Cả nhóm ghi chú để học cách làm việc tốt hơn.","In the morning meeting, the tech giant was mentioned as an example of innovation. The whole team took notes to learn how to work better.",8,1.5,1.2,14
Day 5,Session 3,7,Dễ (kiếm tiền),Easy money,3,"Trong giờ nghỉ, Minh nói việc bán cà phê online khá Dễ (kiếm tiền). Nhưng anh vẫn ghi chép chi phí để báo cáo rõ với quản lý.","During the break, Minh said selling coffee online was quite easy to make money. But he still recorded costs to report clearly to the manager.",10,1.5,1.3,20
Day 5,Session 3,7,Hợp đồng,Contract,3,"Sáng nay, chị Lan gửi Hợp đồng cho phòng nhân sự. Anh Minh đọc kỹ rồi nhắc mọi người ký trước buổi họp chiều.","This morning, Ms. Lan sent the contract to the human resources department. Mr. Minh read it carefully and reminded everyone to sign before the afternoon meeting.",10,1.5,1.3,20
Day 5,Session 3,7,Ký một cái hợp đồng,Sign a contract,3,"Sáng nay, trưởng nhóm nhắc tôi Ký một cái hợp đồng trước khi họp với khách hàng. Tôi kiểm tra điều khoản rồi gửi bản scan cho kế toán.","This morning, the team leader reminded me to sign a contract before meeting the client. I checked the terms, then sent the scanned copy to accounting.",10,1.5,1.3,20
Day 5,Session 3,7,Trước tiên,First / firstly / first off,3,"Trước tiên, em kiểm tra lịch họp và gửi tài liệu cho cả nhóm. Sau đó, em báo với quản lý khi mọi người đã sẵn sàng.","First, I check the meeting schedule and send the documents to the whole team. Then I tell the manager when everyone is ready.",10,1.5,1.3,20
Day 5,Session 3,7,Thương lượng,Negotiate,3,"Trước cuộc họp, Lan nhắc Minh chuẩn bị vài ý chính. Thương lượng sẽ dễ hơn nếu cả hai bên nói rõ nhu cầu và giữ giọng lịch sự.","Before the meeting, Lan reminded Minh to prepare a few main points. Negotiation will be easier if both sides state their needs clearly and keep a polite tone.",10,1.5,1.3,20
Day 5,Session 3,7,Ồn ào / to mồm,Noisy / loud-mouthed,3,"Trong cuộc họp sáng, anh Nam hơi Ồn ào / to mồm nên mọi người khó tập trung. Chị Lan nhắc anh nói nhỏ hơn.","In the morning meeting, Nam was a bit loud, so everyone found it hard to focus. Lan reminded him to speak more quietly.",10,1.5,1,15
Day 5,Session 3,7,Đồng nghiệp,Coworker / colleague / office buddy,3,"Sáng nay, Đồng nghiệp nhắc tôi kiểm tra email trước cuộc họp. Tôi cảm ơn rồi chuẩn bị tài liệu ngắn cho nhóm bán hàng.","This morning, a colleague reminded me to check my email before the meeting. I thanked them and prepared a short document for the sales team.",10,1.5,1,15
Day 5,Session 3,7,Thuyết trình,Present / do presentation,3,"Sáng nay, Minh chuẩn bị Thuyết trình cho cuộc họp nhóm. Anh nhờ Lan kiểm tra lại số liệu để nội dung rõ ràng và chuyên nghiệp hơn.","This morning, Minh prepared a presentation for the team meeting. He asked Lan to review the data so the content would be clearer and more professional.",10,1.5,1.3,20
Day 5,Session 3,7,Không màu / đen trắng,Colorless / black and white,3,"Sáng nay, trong cuộc họp, Lan đề nghị in tài liệu Không màu / đen trắng để tiết kiệm. Sếp đồng ý, nhắc nhóm kiểm tra số liệu trước khi gửi.","This morning, in the meeting, Lan suggested printing the documents in black and white to save money. The boss agreed and reminded the team to check the data before sending it.",12,2.5,1.3,39
Day 5,Session 3,7,Vấn đề thiếu hụt nhân lực,Staff shortage / headcount problem,3,"Trong cuộc họp sáng nay, trưởng nhóm nhắc đến Vấn đề thiếu hụt nhân lực. Cả đội thống nhất ưu tiên việc gấp và hỗ trợ nhau.","In this morning's meeting, the team leader mentioned the staffing shortage issue. The whole team agreed to prioritize urgent work and support one another.",10,1.5,1.3,20
Day 6,Session 4,9,Quá nhanh,(Way) too fast,4,"Trong cuộc họp sáng, Nam nói tiến độ dự án Quá nhanh, nên cả nhóm cần kiểm tra lại các bước. Sếp đồng ý và yêu cầu báo cáo ngắn.","In the morning meeting, Nam said the project pace was too fast, so the team needed to review the steps. The boss agreed and requested a brief report.",12,1.5,1.3,23
Day 6,Session 4,9,Nhiều khi / có mấy lúc,Sometimes / once in a while / at times,4,"Nhiều khi / có mấy lúc, trong giờ làm, tôi phải nhắc mình bình tĩnh. Khi sếp hỏi gấp, tôi trả lời ngắn gọn nhưng rõ ý.","Sometimes, at work, I have to remind myself to stay calm. When my boss asks urgently, I answer briefly but clearly.",16,1.5,1,24
Day 6,Session 4,9,Tôi e là không,I'm afraid not,4,"Trong cuộc họp sáng nay, Lan nói: “Tôi e là không.” Cô từ chối lịch mới vì nhóm cần thêm thời gian kiểm tra báo cáo.","In this morning's meeting, Lan said, “I'm afraid not.” She rejected the new schedule because the team needed more time to review the report.",12,1.5,1.3,23
Day 6,Session 4,9,(Ý anh) là sao?,What'd you mean?,4,"Trong cuộc họp sáng, Nam nghe trưởng nhóm nói cần đổi lịch gửi báo cáo, nên hỏi: “(Ý anh) là sao?” Cả nhóm dừng để giải thích rõ hơn.","In the morning meeting, Nam heard the team lead say they needed to change the report submission schedule, so he asked, “What do you mean?” The team paused to explain more clearly.",12,1.5,1.3,23
Day 6,Session 4,9,Phức tạp,Complicated / complex / like a mess,4,"Sáng nay, nhóm tôi bàn về lịch họp Phức tạp, nên trưởng phòng đề nghị chia việc rõ hơn. Mọi người đồng ý thử cách mới từ tuần này.","This morning, my team discussed the complicated meeting schedule, so the manager suggested dividing tasks more clearly. Everyone agreed to try the new approach this week.",12,1.5,1.3,23
Day 6,Session 4,9,Mỗi 5 năm,Every 5 years,4,"Mỗi 5 năm, phòng nhân sự cập nhật hợp đồng mẫu để nhân viên hiểu quyền lợi rõ hơn. Việc này giúp cuộc họp diễn ra nhanh gọn.","Every 5 years, HR updates the contract template so employees understand their benefits more clearly. This helps the meeting run efficiently.",12,1.5,1.3,23
Day 6,Session 4,9,Thông thường,Usually / often / always,4,"Thông thường, tôi kiểm tra email trước cuộc họp sáng. Nếu có việc gấp, tôi báo ngay cho nhóm để mọi người chuẩn bị kịp.","Usually, I check email before the morning meeting. If there is an urgent task, I inform the team right away so everyone can prepare in time.",16,1.5,1,24
Day 6,Session 4,9,Bìa sách & gáy sách,Book cover & book spine,4,"Trước cuộc họp, Lan kiểm tra Bìa sách & gáy sách trên bàn mẫu. Cô nhắc đồng nghiệp ghi chú lỗi nhỏ để gửi lại nhà in.","Before the meeting, Lan checked the book cover and spine on the sample table. She reminded her colleague to note minor errors before sending it back to the printer.",14,1.5,1.3,27
Day 6,Session 4,9,Tốt hơn là cậu nên…,You'd better… / You should...,4,"Trong cuộc họp sáng nay, Minh nói: ""Tốt hơn là cậu nên… kiểm tra lại lịch hẹn trước khi gửi email cho khách. Như vậy, nhóm tránh nhầm giờ.""","In this morning's meeting, Minh said, ""You'd better… check the appointment again before emailing the client. That way, the team avoids a time mix-up.""",12,1.5,1,18
Day 6,Session 4,9,Chọn,Select / choose / pick / go for,4,,,,,,
Day 11,Session 5,11,Chuỗi cung ứng,Supply chain,5,,,,,,
Day 11,Session 5,11,Thiếu hụt,Shortage / scarcity,5,,,,,,
Day 11,Session 5,11,Đại dịch,Pandemic / epidemic,5,,,,,,
Day 11,Session 5,11,Chính phủ Trung Quốc,Chinese government,5,,,,,,
Day 11,Session 5,11,đóng cửa,Shut down,5,,,,,,
Day 11,Session 5,11,Nỗi đau thật sự,Real pain point,5,,,,,,
Day 11,Session 5,11,Thượng Hải,Shanghai,5,,,,,,
Day 11,Session 5,11,Giá xăng,Gas prices,5,,,,,,
Day 11,Session 5,11,Báo Hàn,A Korean newspaper,5,,,,,,
Day 11,Session 5,11,Doanh số bán lẻ / bán sỉ,Retail / wholesale sales,5,,,,,,
Day 12,Session 6,13,Hợp cái job này,Fit (with) this job,6,,,,,,
Day 12,Session 6,13,Một cách lưu loát,Fluently / smoothly,6,,,,,,
Day 12,Session 6,13,Một cách mạch lạc,Coherently,6,,,,,,
Day 12,Session 6,13,Những cổ đông,Stakeholders / shareholders,6,,,,,,
Day 12,Session 6,13,Tổng đài Viettel,Viettel call center / switchboard,6,,,,,,
Day 12,Session 6,13,Dài dòng,Lengthy / wordy,6,,,,,,
Day 12,Session 6,13,Trung Đông,Middle East,6,,,,,,
Day 12,Session 6,13,Tôi sắp...,I'm about to... / I'm gonna...,6,,,,,,
Day 12,Session 6,13,Buồn tẻ,Tedious / boring,6,,,,,,
Day 12,Session 6,13,... có liên quan đến A,... regarding/concerning A,6,,,,,,
Day 14,Session 7,15,Chiến lược bóng đá,Football strategy,7,,,,,,
Day 14,Session 7,15,Những câu lạc bộ bóng đá,Football clubs,7,,,,,,
Day 14,Session 7,15,"""Có tâm""",Dedicated,7,,,,,,
Day 14,Session 7,15,Còn khuya mới...,Nowhere near... / far from...,7,,,,,,
Day 14,Session 7,15,Bắt đầu từ số 0,Start from scratch / zero,7,,,,,,
Day 14,Session 7,15,... mọi thời đại,... of all time,7,,,,,,
Day 14,Session 7,15,"..., có thể nói vậy","..., so to speak",7,,,,,,
Day 14,Session 7,15,Quản trị,Management,7,,,,,,
Day 14,Session 7,15,Nguyên tắc,Philosophy / principle,7,,,,,,
Day 14,Session 7,15,Cải thiện,Work on / improve,7,,,,,,
Day 15,Session 8,17,Ngấn mỡ bụng,Love handles,8,,,,,,
Day 15,Session 8,17,Không uống rượu bia (adj),Teetotal,8,,,,,,
Day 15,Session 8,17,Trào ngược dạ dày,Acid reflux,8,,,,,,
Day 15,Session 8,17,Ợ nóng,Heartburn,8,,,,,,
Day 15,Session 8,17,Đừng ăn khuya nữa,Stop eating at night / before bed,8,,,,,,
Day 15,Session 8,17,Đường huyết,Blood sugar,8,,,,,,
Day 15,Session 8,17,Ngộ độc thực phẩm,Food poisoning,8,,,,,,
Day 15,Session 8,17,Sự trao đổi chất,Metabolism,8,,,,,,
Day 15,Session 8,17,Đồ ăn vặt,Snacks / light meal,8,,,,,,
Day 15,Session 8,17,Ngay sau khi ăn,Shortly after the meal,8,,,,,,
