Session,STT,Unit (Ohm),Tiếng Việt,Tiếng Anh,Session No.,Complete Sentence (Vie),Complete Sentence (Eng),TC,LC,TL,CVR
Day 11,Session 5,11,Giá xăng,Gas prices,5,"Thành thật mà nói, Giá xăng ảnh hưởng công việc.","Honestly, gas prices affect work.",5,1,1.3,7
Day 11,Session 5,11,Báo Hàn,A Korean newspaper,5,"Đọc Báo Hàn, thành thật mà nói, là công việc.","Reading Korean newspapers, honestly, is work.",5,1,1,5
Day 11,Session 5,11,Doanh số bán lẻ / bán sỉ,Retail / wholesale sales,5,"thành thật mà nói, công việc là Doanh số bán lẻ / bán sỉ.","Honestly, the job is retail/wholesale sales.",8,1.5,1.3,16
Day 12,Session 6,13,Hợp cái job này,Fit (with) this job,6,"Hợp cái job này, tôi nghĩ rằng thời gian ổn.","Suitable for this job, I think the time is okay.",7,1,1,7
Day 12,Session 6,13,Một cách lưu loát,Fluently / smoothly,6,"Một cách lưu loát, tôi nghĩ rằng thời gian ổn.","Fluently, I think the time is fine.",7,1,1,7
Day 12,Session 6,13,Một cách mạch lạc,Coherently,6,"Một cách mạch lạc, tôi nghĩ rằng thời gian ổn.","Clearly, I think the time is fine.",7,1,1,7
Day 12,Session 6,13,Những cổ đông,Stakeholders / shareholders,6,"Những cổ đông, tôi nghĩ rằng thời gian nghỉ rồi.","Shareholders, I think it is break time.",7,1,1.3,9
Day 12,Session 6,13,Tổng đài Viettel,Viettel call center / switchboard,6,tôi nghĩ rằng Tổng đài Viettel cần thời gian.,I think the Viettel call center needs time.,7,1,1,7
Day 12,Session 6,13,Dài dòng,Lengthy / wordy,6,"Dài dòng, tôi nghĩ rằng, mất thời gian.","Being long-winded, I think, wastes time.",7,1,1,7
Day 12,Session 6,13,Trung Đông,Middle East,6,tôi nghĩ rằng thời gian ở Trung Đông khác.,I think the time in the Middle East is different.,7,1,1,7
Day 12,Session 6,13,Tôi sắp...,I'm about to... / I'm gonna...,6,Tôi sắp... tôi nghĩ rằng thời gian đã muộn rồi.,I'm about to... I think it's late now.,7,1,1,7
Day 12,Session 6,13,Buồn tẻ,Tedious / boring,6,"Buồn tẻ, tôi nghĩ rằng thời gian trôi rất chậm.",It's boring; I think time passes very slowly.,7,1,1,7
Day 12,Session 6,13,... có liên quan đến A,... regarding/concerning A,6,tôi nghĩ rằng thời gian ... có liên quan đến A.,I think time ... is related to A.,10,1.5,1,15
Day 14,Session 7,15,Chiến lược bóng đá,Football strategy,7,"Vấn đề không phải là Chiến lược bóng đá, nói chung là vậy.","The issue is not football strategy; generally, that's it.",12,1.5,1.3,23
Day 14,Session 7,15,Những câu lạc bộ bóng đá,Football clubs,7,"Những câu lạc bộ bóng đá, nói chung là, vấn đề không phải là.",Football clubs are generally not the problem.,12,1.5,1,18
Day 14,Session 7,15,"""Có tâm""",Dedicated,7,"Có tâm, vấn đề không phải là nói chung là.",Be sincere; the issue is not saying “generally speaking.”,7,1,1,7
Day 14,Session 7,15,Còn khuya mới...,Nowhere near... / far from...,7,"Còn khuya mới dậy; vấn đề không phải là ngủ, nói chung là lười.","No way I’m getting up yet; the problem isn’t sleep, basically I’m lazy.",12,1.5,1,18
Day 14,Session 7,15,Bắt đầu từ số 0,Start from scratch / zero,7,"Bắt đầu từ số 0, vấn đề không phải là khó, nói chung là ổn.","Starting from zero, the problem is not that it's hard; generally, it's okay.",12,1.5,1,18
Day 14,Session 7,15,... mọi thời đại,... of all time,7,"nói chung là, vấn đề không phải là “... mọi thời đại”.","Generally, the issue is not “... of all time.”",12,1.5,1,18
Day 14,Session 7,15,"..., có thể nói vậy","..., so to speak",7,"..., có thể nói vậy; vấn đề không phải là, nói chung là, tôi dậy sớm.","... you could say that; generally, the problem is not that I wake up early.",12,1.5,1,18
Day 14,Session 7,15,Quản trị,Management,7,Quản trị: vấn đề không phải là “nói chung là.”,Admin: the problem is not “generally speaking.”,7,1,1.3,9
Day 14,Session 7,15,Nguyên tắc,Philosophy / principle,7,"Nguyên tắc, vấn đề không phải là, nói chung là.","Principle, the issue is not, generally speaking.",7,1,1,7
Day 14,Session 7,15,Cải thiện,Work on / improve,7,Cải thiện: vấn đề không phải là “nói chung là.”,Improve: the problem is not saying “in general.”,7,1,1,7
Day 15,Session 8,17,Ngấn mỡ bụng,Love handles,8,Ngấn mỡ bụng: tôi không ngờ là vấn đề không phải là ăn.,Belly fat rolls: I didn't expect the issue was not eating.,14,1.5,1.3,27
Day 15,Session 8,17,Không uống rượu bia (adj),Teetotal,8,"Không uống rượu bia (adj), tôi không ngờ là vấn đề không phải là tôi.","Not drinking alcohol, I didn't expect that the problem is not me.",14,1.5,1,21
Day 15,Session 8,17,Trào ngược dạ dày,Acid reflux,8,"Trào ngược dạ dày, tôi không ngờ là vấn đề không phải là cà phê.",Acid reflux—I didn’t expect that the problem was not coffee.,14,1.5,1.3,27
Day 15,Session 8,17,Ợ nóng,Heartburn,8,tôi không ngờ là vấn đề không phải là Ợ nóng.,I didn't expect that the problem was not heartburn.,14,1.5,1,21
Day 15,Session 8,17,Đừng ăn khuya nữa,Stop eating at night / before bed,8,"Đừng ăn khuya nữa, tôi không ngờ là vấn đề không phải là đói.",Stop eating late; I didn't expect that the problem wasn't hunger.,14,1.5,1,21
Day 15,Session 8,17,Đường huyết,Blood sugar,8,Vấn đề không phải là Đường huyết; tôi không ngờ là vậy.,The problem isn't blood sugar; I didn't expect that.,14,1.5,1.3,27
Day 15,Session 8,17,Ngộ độc thực phẩm,Food poisoning,8,tôi không ngờ là vấn đề không phải là Ngộ độc thực phẩm.,I didn't expect that the problem was not food poisoning.,14,1.5,1.3,27
Day 15,Session 8,17,Sự trao đổi chất,Metabolism,8,Sự trao đổi chất: tôi không ngờ là vấn đề không phải là ngủ.,Metabolism: I didn't expect that the problem isn't sleep.,14,1.5,1.3,27
Day 15,Session 8,17,Đồ ăn vặt,Snacks / light meal,8,Đồ ăn vặt: tôi không ngờ là vấn đề không phải là nó.,Snacks: I didn't expect that they weren't the problem.,14,1.5,1,21
Day 15,Session 8,17,Ngay sau khi ăn,Shortly after the meal,8,"Ngay sau khi ăn, tôi không ngờ là vấn đề không phải là đói.","Right after eating, I didn't expect that the problem wasn't hunger.",14,1.5,1,21
