Session,STT,Unit (Ohm),Tiếng Việt,Tiếng Anh,Session No.,Complete Sentence (Vie),Complete Sentence (Eng),TC,LC,TL,CVR
Day 11,Session 5,11,Báo Hàn,A Korean newspaper,5,"Theo một báo Hàn, nền kinh tế khu vực đang phục hồi nhanh hơn dự kiến nhờ xuất khẩu tăng trưởng mạnh.","According to a Korean newspaper, the regional economy is recovering faster than expected thanks to strong export growth.",11,1.5,1.3,21
Day 11,Session 5,11,Doanh số bán lẻ / bán sỉ,Retail / wholesale sales,5,"Doanh số bán lẻ trong quý này tăng đáng kể, chủ yếu nhờ nhu cầu mua sắm trực tuyến ngày càng cao.","Retail sales this quarter increased significantly, mainly due to the growing demand for online shopping.",11,1.5,1.3,21
Day 12,Session 6,13,Hợp cái job này,Fit (with) this job,6,"Sau nhiều năm thử nhiều vị trí khác nhau, cuối cùng tôi nhận ra mình thực sự hợp cái job này.","After many years of trying different positions, I finally realized that I truly fit this job.",13,1.5,1.5,29
Day 12,Session 6,13,Một cách lưu loát,Fluently / smoothly,6,"Cô ấy có thể nói tiếng Anh một cách lưu loát nhờ kiên trì luyện tập mỗi ngày trong nhiều năm.","She can speak English fluently thanks to persistent daily practice over many years.",13,1.5,1.5,29
Day 12,Session 6,13,Một cách mạch lạc,Coherently,6,"Để thuyết phục khách hàng khó tính, bạn cần trình bày ý tưởng của mình một cách mạch lạc và rõ ràng.","To persuade demanding clients, you need to present your ideas coherently and clearly.",13,1.5,1.5,29
Day 12,Session 6,13,Những cổ đông,Stakeholders / shareholders,6,"Những cổ đông lớn của công ty yêu cầu ban lãnh đạo công khai báo cáo tài chính minh bạch hơn.","The company's major shareholders demanded that the leadership disclose more transparent financial reports.",13,1.5,1.5,29
Day 12,Session 6,13,Tổng đài Viettel,Viettel call center / switchboard,6,"Khi gặp sự cố mạng, khách hàng có thể gọi tổng đài Viettel để được hỗ trợ kỹ thuật nhanh chóng.","When experiencing network issues, customers can call the Viettel call center for quick technical support.",13,1.5,1.5,29
Day 12,Session 6,13,Dài dòng,Lengthy / wordy,6,"Bài thuyết trình của anh ấy quá dài dòng và lặp lại nhiều ý, khiến khán giả cảm thấy mệt mỏi.","His presentation was too lengthy and repetitive, making the audience feel exhausted.",13,1.5,1.5,29
Day 12,Session 6,13,Trung Đông,Middle East,6,"Trung Đông là khu vực giàu tài nguyên dầu mỏ nhưng cũng đối mặt nhiều xung đột chính trị phức tạp.","The Middle East is a region rich in oil resources but also faces many complex political conflicts.",13,1.5,1.5,29
Day 12,Session 6,13,Tôi sắp...,I'm about to... / I'm gonna...,6,"Tôi sắp hoàn thành khóa học ngoại ngữ, và sau đó tôi dự định thi lấy chứng chỉ quốc tế.","I'm about to finish my language course, and after that I plan to take an international certificate exam.",13,1.5,1.5,29
Day 12,Session 6,13,Buồn tẻ,Tedious / boring,6,"Bộ phim này thực sự quá buồn tẻ và kéo dài, nên nhiều khán giả đã bỏ về ngay từ giữa chừng.","This movie was really too tedious and drawn out, so many viewers decided to leave the theater halfway through.",13,1.5,1.5,29
Day 12,Session 6,13,... có liên quan đến A,... regarding/concerning A,6,"Nếu bạn có bất kỳ thắc mắc nào có liên quan đến hợp đồng lao động, vui lòng liên hệ trực tiếp với phòng nhân sự.","If you have any questions regarding your employment contract, please contact the HR department directly.",13,1.5,1.5,29
Day 14,Session 7,15,Chiến lược bóng đá,Football strategy,7,"Huấn luyện viên đã thay đổi chiến lược bóng đá của đội, chuyển từ phòng ngự sang tấn công mạnh mẽ hơn.","The coach changed the team's football strategy, shifting from defense to a more aggressive attack.",15,1.5,1.5,34
Day 14,Session 7,15,Những câu lạc bộ bóng đá,Football clubs,7,"Những câu lạc bộ bóng đá lớn thường đầu tư rất nhiều tiền để chiêu mộ các cầu thủ tài năng.","Big football clubs usually invest a lot of money to recruit talented players.",15,1.5,1.5,34
Day 14,Session 7,15,"""Có tâm""",Dedicated,7,"Một thầy giáo có tâm không chỉ truyền đạt kiến thức mà còn quan tâm đến tương lai của học sinh.","A dedicated teacher not only imparts knowledge but also cares about the students' future.",15,1.5,1.5,34
Day 14,Session 7,15,Còn khuya mới...,Nowhere near... / far from...,7,"Đội bóng này còn khuya mới vô địch được giải đấu nếu cứ thi đấu thiếu tập trung như hiện nay.","This team is nowhere near winning the championship if they keep playing without focus like they are now.",15,1.5,1.5,34
Day 14,Session 7,15,Bắt đầu từ số 0,Start from scratch / zero,7,"Sau khi thất bại trong kinh doanh, anh ấy quyết định bắt đầu từ số 0 với một ý tưởng hoàn toàn mới.","After failing in business, he decided to start from scratch with a completely new idea.",15,1.5,1.5,34
Day 14,Session 7,15,... mọi thời đại,... of all time,7,"Nhiều chuyên gia coi anh ấy là cầu thủ vĩ đại nhất mọi thời đại của bóng đá thế giới.","Many experts consider him the greatest football player of all time in world football.",15,1.5,1.5,34
Day 14,Session 7,15,"..., có thể nói vậy","..., so to speak",7,"Công việc này đòi hỏi sự sáng tạo, có thể nói vậy, vì chúng ta phải tìm ra giải pháp mới mỗi ngày.","This job requires creativity, so to speak, because we have to come up with new solutions every day.",15,1.5,1.5,34
Day 14,Session 7,15,Quản trị,Management,7,"Quản trị doanh nghiệp hiệu quả đòi hỏi nhà lãnh đạo phải cân bằng giữa lợi nhuận và phúc lợi nhân viên.","Effective business management requires leaders to balance profit and employee welfare.",15,1.5,1.5,34
Day 14,Session 7,15,Nguyên tắc,Philosophy / principle,7,"Công ty này hoạt động dựa trên nguyên tắc minh bạch, luôn đặt lợi ích của khách hàng lên hàng đầu.","This company operates on the principle of transparency, always putting the customer's interests first.",15,1.5,1.5,34
Day 14,Session 7,15,Cải thiện,Work on / improve,7,"Để cải thiện kỹ năng giao tiếp, bạn nên luyện tập nói trước gương và ghi âm để tự đánh giá.","To improve your communication skills, you should practice speaking in front of a mirror and record yourself for self-evaluation.",15,1.5,1.5,34
Day 15,Session 8,17,Ngấn mỡ bụng,Love handles,8,"Nhiều nhân viên văn phòng vật lộn với ngấn mỡ bụng vì ngồi nhiều giờ mỗi ngày, hiếm khi vận động và thường ăn đồ ngọt.","Many office workers struggle with love handles because they sit for long hours every day and rarely exercise, even though their diets are full of sugar and fat.",17,1.5,1.8,46
Day 15,Session 8,17,Không uống rượu bia (adj),Teetotal,8,"Mặc dù thường đi tiệc với đồng nghiệp, anh ấy vẫn không uống rượu bia, và bác sĩ nói thói quen này giúp tim mạch khỏe hơn nhiều.","Even though he often joins social parties with colleagues, he remains teetotal, and his doctor says this habit has greatly improved his overall heart health.",17,1.5,1.8,46
Day 15,Session 8,17,Trào ngược dạ dày,Acid reflux,8,"Trào ngược dạ dày phổ biến ở những ai làm việc căng thẳng, đặc biệt khi họ ăn không đúng giờ hoặc nằm ngay sau bữa ăn.","Acid reflux is very common among people who work under high stress, especially when they eat at irregular times or lie down right after their meals.",17,1.5,1.8,46
Day 15,Session 8,17,Ợ nóng,Heartburn,8,"Ợ nóng thường xuất hiện sau khi ăn đồ cay hoặc nhiều dầu mỡ, và nếu cảm giác này kéo dài nhiều tuần, bạn nên đi khám.","Heartburn often appears after eating spicy or greasy food, and if this burning feeling lasts for weeks, you should go see a doctor for a checkup.",17,1.5,1.8,46
Day 15,Session 8,17,Đừng ăn khuya nữa,Stop eating at night / before bed,8,"Chuyên gia dinh dưỡng khuyên đừng ăn khuya nữa nếu muốn giảm cân, vì ăn muộn khiến cơ thể tích mỡ thừa và ngủ kém hơn.","Nutrition experts say you should stop eating at night if you want to lose weight, because late meals make the body store extra fat and ruin your sleep.",17,1.5,1.8,46
Day 15,Session 8,17,Đường huyết,Blood sugar,8,"Giữ đường huyết ổn định đóng vai trò quan trọng trong phòng ngừa tiểu đường, đặc biệt với những ai có tiền sử gia đình hoặc thừa cân.","Keeping blood sugar levels stable plays a key role in preventing diabetes, especially for those with a family history of the disease or who are overweight.",17,1.5,1.8,46
Day 15,Session 8,17,Ngộ độc thực phẩm,Food poisoning,8,"Ngộ độc thực phẩm xảy ra khi bạn ăn đồ ôi thiu, nấu chưa kỹ hoặc bảo quản kém, gây buồn nôn, tiêu chảy và sốt nhẹ.","Food poisoning can happen when you eat spoiled, undercooked, or badly stored food, causing nausea, diarrhea, and a mild fever that lasts for two or three days.",17,1.5,1.8,46
Day 15,Session 8,17,Sự trao đổi chất,Metabolism,8,"Trao đổi chất của cơ thể chậm lại khi ta già đi, vì vậy việc duy trì thói quen tập luyện đều đặn ngày càng quan trọng.","The body's metabolism tends to slow down as we get older, which is why keeping a regular exercise routine becomes more and more important each year.",17,1.5,1.8,46
Day 15,Session 8,17,Đồ ăn vặt,Snacks / light meal,8,"Ăn quá nhiều đồ ăn vặt chứa đầy muối, đường và chất béo không chỉ gây tăng cân mà còn tăng nguy cơ mắc bệnh mạn tính.","Eating too many snacks full of salt, sugar, and fat not only causes weight gain but also raises the risk of dangerous chronic diseases later in life.",17,1.5,1.8,46
Day 15,Session 8,17,Ngay sau khi ăn,Shortly after the meal,8,"Nhiều bạn có thói quen nằm ngay sau khi ăn, nhưng bác sĩ cảnh báo việc này tạo áp lực lên dạ dày và dễ gây trào ngược.","Many people have the habit of lying down shortly after the meal, but doctors warn this puts pressure on the stomach and easily causes acid reflux.",17,1.5,1.8,46
